Player,Hands,Result,RakePaid,FlatRB,winrate,Rbwinrate,Rbeffect,Reg,PlayerType,RBReg,RB_PlayerType
Player 1,298644,2285.47,17668.05,3533.61,0.76528241,1.948500556,1.546119616,1,1,1,1
Player 2,232879,4353.83,14217.46,2843.492,1.869567458,3.090584381,0.653101292,1,1,1,1
Player 3,207342,1398.22,15216.04,3043.208,0.674354448,2.142078305,2.176487248,1,1,1,1
Player 4,183272,5522.98,10412.41,2082.482,3.013542712,4.149822122,0.377057675,1,1,1,1
Player 5,164829,5251.84,10028.26,2005.652,3.186235432,4.403043154,0.381895107,1,1,1,1
Player 6,151340,-4219.88,9521.62,1904.324,-2.788344126,-1.530035681,0.451274444,0,0,0,1
Player 7,135260,-1266.09,8013.54,1602.708,-0.936041697,0.248867367,1.265872095,0,1,1,1
Player 8,121810,619.81,6077.25,1215.45,0.508833429,1.50665791,1.96100418,1,1,1,1
Player 9,116073,7424.76,7549.29,1509.858,6.396629707,7.697412835,0.203354452,1,1,1,1
Player 10,105798,-3341.22,9304.83,1860.966,-3.15811263,-1.399132309,0.556972004,0,0,0,1
Player 11,100012,-5441.75,7927.77,1585.554,-5.441097068,-3.855733312,0.291368402,0,0,0,1
Player 12,96065,2772.77,5535.16,1107.032,2.886347785,4.038725863,0.399251291,1,1,1,1
Player 13,90754,4721.63,6419.24,1283.848,5.202668753,6.617314939,0.271907794,1,1,1,1
Player 14,86538,1525.43,7394.05,1478.81,1.762728512,3.471584737,0.969438126,1,1,1,1
Player 15,79122,-517.63,4876.82,975.364,-0.654217537,0.578516721,1.884288006,0,1,1,1
Player 16,76695,1696.39,5264.79,1052.958,2.21186518,3.584781276,0.620705144,1,1,1,1
Player 17,73433,3146.97,5034.48,1006.896,4.285498345,5.656674792,0.319957292,1,1,1,1
Player 18,71864,2326.6,3929.21,785.842,3.237504175,4.331016921,0.337764119,1,1,1,1
Player 19,68261,3910.44,5196.63,1039.326,5.728659117,7.251235698,0.265782367,1,1,1,1
Player 20,65556,-2377.63,4275.9,855.18,-3.626868631,-2.322365611,0.359677494,0,0,0,1
Player 21,63089,1178.42,3157.23,631.446,1.867869201,2.868750495,0.535841211,1,1,1,1
Player 22,60852,-3250.43,3364.31,672.862,-5.341533557,-4.23579833,0.207007073,0,0,0,1
Player 23,58842,-1210.19,2852.15,570.43,-2.056677203,-1.087250603,0.471355738,0,0,0,1
Player 24,56292,2842.61,3677.06,735.412,5.049758403,6.356182051,0.258710129,1,1,1,1
Player 25,52616,-1696.51,2234.27,446.854,-3.2243234,-2.375049415,0.263396031,0,0,0,1
Player 26,50466,-134.98,2494.44,498.888,-0.267467206,0.721095391,3.696014221,0,1,1,1
Player 27,48721,283.13,3213.46,642.692,0.581125182,1.900252458,2.269953733,1,1,1,1
Player 28,45514,142.67,2417.76,483.552,0.313463989,1.375888738,3.389303991,1,1,1,1
Player 29,43122,368.82,2463.98,492.796,0.855294281,1.998089142,1.336142292,1,1,1,1
Player 30,41035,-116.92,2429.87,485.974,-0.284927501,0.899363958,4.15646596,0,1,1,1
Player 31,39810,24.72,2168.08,433.616,0.062094951,1.151308716,17.54110032,1,1,1,1
Player 32,38196,858.19,1890.62,378.124,2.246805948,3.236763012,0.440606393,1,1,1,1
Player 33,37368,1022.41,2481.5,496.3,2.736057589,4.064199315,0.4854217,1,1,1,1
Player 34,35985,1880.7,2283.69,456.738,5.22634431,6.495589829,0.24285532,1,1,1,1
Player 35,34604,1700.68,2627.84,525.568,4.914691943,6.433499017,0.309034033,1,1,1,1
Player 36,32973,-1486.21,2146.77,429.354,-4.507354502,-3.205216389,0.288891879,0,0,0,1
Player 37,31417,984.99,1733.03,346.606,3.135213419,4.238456886,0.351887837,1,1,1,1
Player 38,30501,-206.97,2077.17,415.434,-0.678567916,0.683466116,2.007218437,0,1,1,1
Player 39,29784,3791.29,2322.39,464.478,12.72928418,14.2887725,0.122511863,1,1,1,1
Player 40,28696,1211.83,1609.98,321.996,4.222992752,5.345086423,0.265710537,1,1,1,1
Player 41,27449,-5070.64,2008.57,401.714,-18.47294983,-17.00945754,0.07922353,0,0,0,1
Player 42,26615,4943.92,2155.35,431.07,18.5756904,20.19534097,0.087191945,1,1,1,1
Player 43,25598,-1855.35,2586.4,517.28,-7.24802719,-5.227244316,0.278804538,0,0,0,1
Player 44,24577,890.9,1461.64,292.328,3.624933881,4.81437116,0.328126614,1,1,1,1
Player 45,23812,-786.11,1133.33,226.666,-3.301318663,-2.34942046,0.288338782,0,0,0,1
