Player,Hands,Result,RakePaid,1kRakeback,5kRakeback,>5kRakeback,Cumulative,winrate,Rbwinrate,rbeffect,Reg,PlayerType,RBReg,RB_PlayerType
Player 1,298644,2285.47,17668.05,100,1000,5067.22,6167.22,0.76528241,2.830356545,2.698447147,1,1,1,1
Player 2,232879,4353.83,14217.46,100,1000,3686.984,4786.98,1.869567458,3.925132794,1.099487118,1,1,1,1
Player 3,207342,1398.22,15216.04,100,1000,4086.416,5186.42,0.674354448,3.175738635,3.709301827,1,1,1,1
Player 4,183272,5522.98,10412.41,100,1000,2164.964,3264.96,3.013542712,4.795025972,0.591159121,1,1,1,1
Player 5,164829,5251.84,10028.26,100,1000,2011.304,3111.3,3.186235432,5.073828028,0.592420942,1,1,1,1
Player 6,151340,-4219.88,9521.62,100,1000,1808.648,2908.65,-2.788344126,-0.866413374,0.689273155,0,0,0,0
Player 7,135260,-1266.09,8013.54,100,1000,1205.416,2305.42,-0.936041697,0.768394204,1.820897409,0,0,1,1
Player 8,121810,619.81,6077.25,100,1000,430.9,1530.9,0.508833429,1.765626796,2.469950469,1,1,1,1
Player 9,116073,7424.76,7549.29,100,1000,1019.716,2119.72,6.396629707,8.222825291,0.285493403,1,1,1,1
Player 10,105798,-3341.22,9304.83,100,1000,1721.932,2821.93,-3.15811263,-0.490831585,0.844580722,0,0,0,0
Player 11,100012,-5441.75,7927.77,100,1000,1171.108,2271.11,-5.441097068,-3.170259569,0.417349198,0,0,0,0
Player 12,96065,2772.77,5535.16,100,1000,214.064,1314.06,2.886347785,4.254234112,0.473915976,1,1,1,1
Player 13,90754,4721.63,6419.24,100,1000,567.696,1667.7,5.202668753,7.040273707,0.353204296,1,1,1,1
Player 14,86538,1525.43,7394.05,100,1000,957.62,2057.62,1.762728512,4.140435416,1.348878677,1,1,1,1
Player 15,79122,-517.63,4876.82,100,969.205,0,1069.21,-0.654217537,0.697125957,2.065587389,0,0,1,1
Player 16,76695,1696.39,5264.79,100,1000,105.916,1205.92,2.21186518,3.784223222,0.710874268,1,1,1,1
Player 17,73433,3146.97,5034.48,100,1000,13.792,1113.79,4.285498345,5.802241499,0.353924569,1,1,1,1
Player 18,71864,2326.6,3929.21,100,732.3025,0,832.3,3.237504175,4.395664032,0.357732313,1,1,1,1
Player 19,68261,3910.44,5196.63,100,1000,78.652,1178.65,5.728659117,7.455340531,0.301411094,1,1,1,1
Player 20,65556,-2377.63,4275.9,100,818.975,0,918.98,-3.626868631,-2.225044237,0.386510937,0,0,0,0
Player 21,63089,1178.42,3157.23,100,539.3075,0,639.31,1.867869201,2.881215426,0.542514553,1,1,1,1
Player 22,60852,-3250.43,3364.31,100,591.0775,0,691.08,-5.341533557,-4.20586012,0.21261187,0,0,0,0
Player 23,58842,-1210.19,2852.15,100,463.0375,0,563.04,-2.056677203,-1.09980966,0.465249258,0,0,0,0
Player 24,56292,2842.61,3677.06,100,669.265,0,769.27,5.049758403,6.416329141,0.270621014,1,1,1,1
Player 25,52616,-1696.51,2234.27,100,308.5675,0,408.57,-3.2243234,-2.447810552,0.240829703,0,0,0,0
Player 26,50466,-134.98,2494.44,100,373.61,0,473.61,-0.267467206,0.671006222,3.508742036,0,0,1,1
Player 27,48721,283.13,3213.46,100,553.365,0,653.37,0.581125182,1.922169085,2.307667856,1,1,1,1
Player 28,45514,142.67,2417.76,100,354.44,0,454.44,0.313463989,1.311926001,3.185252681,1,1,1,1
Player 29,43122,368.82,2463.98,100,365.995,0,466,0.855294281,1.935949167,1.263488965,1,1,1,1
Player 30,41035,-116.92,2429.87,100,357.4675,0,457.47,-0.284927501,0.829901304,3.912675334,0,0,1,1
Player 31,39810,24.72,2168.08,100,292.02,0,392.02,0.062094951,1.046822406,15.85841424,1,1,1,1
Player 32,38196,858.19,1890.62,100,222.655,0,322.66,2.246805948,3.091554089,0.375977348,1,1,1,1
Player 33,37368,1022.41,2481.5,100,370.375,0,470.38,2.736057589,3.994835153,0.460069835,1,1,1,1
