,Hands,Result,Rake Paid
Player 1,298644,2285.47,17668.05
Player 2,232879,4353.83,14217.46
Player 3,207342,1398.22,15216.04
Player 4,183272,5522.98,10412.41
Player 5,164829,5251.84,10028.26
Player 6,151340,-4219.88,9521.62
Player 7,135260,-1266.09,8013.54
Player 8,121810,619.81,6077.25
Player 9,116073,7424.76,7549.29
Player 10,105798,-3341.22,9304.83
Player 11,100012,-5441.75,7927.77
Player 12,96065,2772.77,5535.16
Player 13,90754,4721.63,6419.24
Player 14,86538,1525.43,7394.05
Player 15,79122,-517.63,4876.82
Player 16,76695,1696.39,5264.79
Player 17,73433,3146.97,5034.48
Player 18,71864,2326.6,3929.21
Player 19,68261,3910.44,5196.63
Player 20,65556,-2377.63,4275.9
Player 21,63089,1178.42,3157.23
Player 22,60852,-3250.43,3364.31
Player 23,58842,-1210.19,2852.15
Player 24,56292,2842.61,3677.06
Player 25,52616,-1696.51,2234.27
Player 26,50466,-134.98,2494.44
Player 27,48721,283.13,3213.46
Player 28,45514,142.67,2417.76
Player 29,43122,368.82,2463.98
Player 30,41035,-116.92,2429.87
Player 31,39810,24.72,2168.08
Player 32,38196,858.19,1890.62
Player 33,37368,1022.41,2481.5
Player 34,35985,1880.7,2283.69
Player 35,34604,1700.68,2627.84
Player 36,32973,-1486.21,2146.77
Player 37,31417,984.99,1733.03
Player 38,30501,-206.97,2077.17
Player 39,29784,3791.29,2322.39
Player 40,28696,1211.83,1609.98
Player 41,27449,-5070.64,2008.57
Player 42,26615,4943.92,2155.35
Player 43,25598,-1855.35,2586.4
Player 44,24577,890.9,1461.64
Player 45,23812,-786.11,1133.33
Player 46,23142,-749.83,1237.83
Player 47,22806,175.65,1649.88
Player 48,22143,1235.52,1711.31
Player 49,21356,-1611.19,1091.47
Player 50,20442,-2917.42,1908.61
Player 51,19638,-1848.01,1154.89
Player 52,18920,-1704.9,1391.09
Player 53,18322,-636.06,1451.18
Player 54,17657,719.04,1541.71
